date,open,high,low,close,volume,adj_close,source
2024-08-01,880.0,884.67,860.32,865.35,586568,865.35,alpha_vantage
2024-07-31,875.32,885.1,871.9,876.5,656942,876.5,alpha_vantage
2024-07-30,868.13,873.8929,865.1772,872.59,539579,872.59,alpha_vantage
2024-07-29,858.0,865.17,852.37,862.15,612694,862.15,alpha_vantage
2024-07-26,841.97,857.65,841.1,856.2,555814,856.2,alpha_vantage
2024-07-25,824.96,848.58,822.43,836.54,587524,836.54,alpha_vantage
2024-07-24,844.08,846.2433,826.11,827.65,660358,827.65,alpha_vantage
2024-07-23,841.81,850.99,839.02,844.69,701557,844.69,alpha_vantage
2024-07-22,836.55,845.5,835.04,843.24,573228,843.24,alpha_vantage
2024-07-19,833.67,833.67,825.055,830.7,1036152,830.7,alpha_vantage
2024-07-18,835.17,851.876,828.79,829.0,718023,829.0,alpha_vantage
2024-07-17,846.31,848.6228,835.89,841.09,692007,841.09,alpha_vantage
2024-07-16,824.5,845.53,820.9502,843.94,744760,843.94,alpha_vantage
2024-07-15,829.98,836.21,818.44,822.96,888305,822.96,alpha_vantage
2024-07-12,829.39,837.54,825.4,827.97,677070,827.97,alpha_vantage
2024-07-11,817.97,825.93,815.805,824.87,634133,824.87,alpha_vantage
2024-07-10,801.76,812.29,801.76,812.0,519073,812.0,alpha_vantage
2024-07-09,793.51,803.39,791.52,802.28,629528,802.28,alpha_vantage
2024-07-08,790.6,793.28,785.76,790.19,529582,790.19,alpha_vantage
2024-07-05,791.14,791.18,782.9,790.6,341478,790.6,alpha_vantage
2024-07-03,789.13,790.63,786.0,789.12,250799,789.12,alpha_vantage
2024-07-02,782.67,789.66,782.67,789.13,367332,789.13,alpha_vantage
2024-07-01,790.83,794.1,777.63,782.27,543517,782.27,alpha_vantage
2024-06-28,784.49,792.325,781.2,787.32,769459,787.32,alpha_vantage
2024-06-27,784.65,787.05,780.34,781.13,428580,781.13,alpha_vantage
2024-06-26,789.28,791.12,784.52,787.45,529002,787.45,alpha_vantage
2024-06-25,794.46,795.26,788.575,794.39,394046,794.39,alpha_vantage
2024-06-24,788.58,806.47,788.58,798.95,528676,798.95,alpha_vantage
2024-06-21,783.72,791.15,779.8927,787.6,872955,787.6,alpha_vantage
2024-06-20,782.02,784.05,777.52,782.83,496885,782.83,alpha_vantage
2024-06-18,778.94,784.12,777.02,783.65,479732,783.65,alpha_vantage
2024-06-17,767.21,783.94,766.05,781.08,541652,781.08,alpha_vantage
2024-06-14,764.5,769.97,759.99,769.33,376815,769.33,alpha_vantage
2024-06-13,766.96,772.75,758.2,769.71,462480,769.71,alpha_vantage
2024-06-12,769.35,782.56,766.09,770.11,833246,770.11,alpha_vantage
2024-06-11,762.01,763.365,752.295,757.63,498980,757.63,alpha_vantage
2024-06-10,766.74,768.86,760.245,766.17,588940,766.17,alpha_vantage
