date,open,high,low,close,volume,adj_close,source
2024-08-01,74.7,74.79,73.26,73.85,9563543,73.85,alpha_vantage
2024-07-31,74.5,75.43,73.92,74.86,14632943,74.86,alpha_vantage
2024-07-30,73.69,74.49,73.455,74.32,8515720,74.32,alpha_vantage
2024-07-29,72.5,73.8699,72.2,73.55,10471842,73.55,alpha_vantage
2024-07-26,72.0,72.78,71.87,72.56,8891986,72.56,alpha_vantage
2024-07-25,71.53,72.43,70.91,71.41,13855387,71.41,alpha_vantage
2024-07-24,73.25,73.39,71.08,71.09,18563315,71.09,alpha_vantage
2024-07-23,74.63,75.04,73.24,73.4,11041791,73.4,alpha_vantage
2024-07-22,73.12,75.34,73.0703,74.86,19385485,74.86,alpha_vantage
2024-07-19,72.3,72.82,71.8516,72.7,11913319,72.7,alpha_vantage
2024-07-18,72.97,73.93,72.35,72.38,14440125,72.38,alpha_vantage
2024-07-17,72.53,73.34,72.5,73.07,11161563,73.07,alpha_vantage
2024-07-16,71.51,72.96,71.51,72.81,20980667,72.81,alpha_vantage
2024-07-15,73.0,73.006,71.24,71.31,20775809,71.31,alpha_vantage
2024-07-12,73.57,74.05,73.172,73.42,14527522,73.42,alpha_vantage
2024-07-11,72.7,73.75,72.29,73.39,15876666,73.39,alpha_vantage
2024-07-10,72.26,72.64,71.67,72.54,21378214,72.54,alpha_vantage
2024-07-09,73.3,74.14,72.38,72.46,23502451,72.46,alpha_vantage
2024-07-08,75.41,75.49,73.0,73.05,29905043,73.05,alpha_vantage
2024-07-05,75.36,76.09,74.78,75.43,19603685,75.43,alpha_vantage
2024-07-03,75.5,75.92,75.0199,75.24,15952008,75.24,alpha_vantage
2024-07-02,76.82,76.94,75.39,76.04,26183350,76.04,alpha_vantage
2024-07-01,75.5,77.06,74.29,76.83,44369006,76.83,alpha_vantage
2024-06-28,77.13,79.05,74.55,75.37,129966982,75.37,alpha_vantage
2024-06-27,93.77,94.74,93.39,94.19,25772734,94.19,alpha_vantage
2024-06-26,94.09,94.48,93.15,94.06,10160426,94.06,alpha_vantage
2024-06-25,97.31,97.64,94.5,94.75,9036181,94.75,alpha_vantage
2024-06-24,97.3,98.04,96.68,97.17,9466888,97.17,alpha_vantage
2024-06-21,95.96,97.209,95.42,97.18,15569882,97.18,alpha_vantage
2024-06-20,93.88,96.09,93.5216,95.57,9393767,95.57,alpha_vantage
2024-06-18,94.67,95.26,94.21,94.78,6712037,94.78,alpha_vantage
2024-06-17,92.01,95.12,92.01,95.0,6365370,95.0,alpha_vantage
2024-06-14,93.8,94.78,93.3002,93.39,7426757,93.39,alpha_vantage
2024-06-13,94.04,94.53,93.72,94.18,8348214,94.18,alpha_vantage
