datetime,open,high,low,close,volume
2004-02-20,60.22,60.24,59.25,59.26,74400
2004-02-23,59.36,59.43,58.63,58.84,40300
2004-02-24,58.45,58.63,57.86,58.27,66400
2004-02-25,58.42,58.61,57.9,58.3,98800
2004-02-26,58.45,59.69,58.25,59.6,73900
2004-02-27,59.54,60.0,59.28,59.5,60500
2004-03-01,59.65,60.99,59.65,60.32,40200
2004-03-02,60.22,61.64,60.22,61.09,99500
2004-03-03,61.09,61.6,60.74,61.27,54700
2004-03-04,61.39,61.75,61.1,61.25,63600
2004-03-05,61.0,62.34,61.0,61.5,52300
2004-03-08,61.6,62.24,61.59,62.01,64300
2004-03-09,61.86,61.86,60.93,61.06,87400
2004-03-10,61.31,61.31,60.89,61.05,51600
2004-03-11,60.93,60.93,59.0,59.27,38000
2004-03-12,59.39,61.05,59.25,60.26,55200
2004-03-15,60.38,60.38,59.5,59.5,20900
2004-03-16,59.6,60.22,59.6,60.0,31100
2004-03-17,60.0,60.8,60.0,60.71,19900
2004-03-18,60.71,60.76,60.16,60.71,26900
2004-03-19,60.56,61.19,60.45,60.9,28600
2004-03-22,60.7,60.8,59.86,60.0,50200
2004-03-23,60.1,60.1,59.46,59.91,80700
2004-03-24,59.66,59.74,59.2,59.55,55200
2004-03-25,59.55,59.85,59.06,59.6,101500
2004-03-26,59.6,60.09,59.36,60.0,35100
2004-03-29,60.0,60.9,59.81,60.86,26100
2004-03-30,60.7,61.3,60.41,60.41,31100
2004-03-31,60.56,61.4,60.53,61.17,38400
2004-04-01,62.12,66.93,62.12,66.0,305900
2004-04-02,65.95,65.95,64.85,65.0,199900
2004-04-05,65.0,65.0,63.95,64.1,187500
2004-04-06,64.1,64.83,64.09,64.39,82300
2004-04-07,64.24,64.78,63.92,63.92,82800
2004-04-08,64.07,64.63,63.1,63.1,78800
2004-04-12,63.11,64.21,63.09,63.9,54600
2004-04-13,64.05,64.05,62.25,62.26,46500
2004-04-14,62.16,62.59,61.46,61.47,41300
2004-04-15,61.51,62.0,61.08,62.0,35000
2004-04-16,62.5,63.5,62.48,63.5,67400
2004-04-19,63.38,63.39,61.74,61.74,57200
2004-04-20,62.14,63.1,61.61,62.37,89400
2004-04-21,62.37,62.37,60.96,61.35,131100
2004-04-22,61.35,62.42,61.35,62.4,66700
2004-04-23,62.28,62.28,61.18,61.25,57800
2004-04-26,61.25,62.19,61.22,61.93,38300
2004-04-27,61.8,62.75,61.78,62.41,34900
2004-04-28,62.31,62.31,61.5,61.69,77600
2004-04-29,61.59,62.62,61.5,62.0,41400
2004-04-30,61.88,62.62,61.52,62.2,73300
2004-05-03,62.1,62.97,61.71,62.51,62200
2004-05-04,62.36,63.56,62.24,63.34,82900
2004-05-05,63.24,63.27,62.56,62.56,64500
2004-05-06,62.46,62.46,61.65,61.65,62300
2004-05-07,61.55,61.82,59.88,59.88,40500
2004-05-10,59.78,59.78,58.94,59.2,96400
2004-05-11,59.2,59.26,58.67,58.79,90600
2004-05-12,58.75,58.78,58.0,58.75,87700
2004-05-13,58.75,59.45,58.7,58.73,53500
2004-05-14,58.63,59.12,58.29,58.63,55500
2004-05-17,58.63,58.63,57.8,57.95,34100
2004-05-18,58.05,58.75,58.04,58.43,26300
2004-05-19,58.68,59.91,58.66,58.75,76700
2004-05-20,58.7,59.22,58.7,59.08,36800
2004-05-21,58.98,59.44,58.84,59.16,53100
2004-05-24,59.26,60.68,59.23,60.25,48600
2004-05-25,60.15,60.81,60.0,60.64,37800
2004-05-26,60.54,62.11,60.5,61.56,66600
2004-05-27,61.46,62.9,61.19,62.43,72100
2004-05-28,62.18,63.1,62.05,63.1,48900
2004-06-01,63.25,63.65,62.86,63.2,65200
2004-06-02,63.35,64.46,63.25,64.13,68300
2004-06-03,63.7,63.7,63.11,63.39,39800
2004-06-04,63.55,64.55,63.55,64.55,55400
2004-06-07,64.45,64.71,64.3,64.44,27600
2004-06-08,64.54,65.14,64.54,64.81,45000
2004-06-09,64.71,64.71,63.93,64.04,38100
2004-06-10,63.94,64.15,63.39,63.57,31100
2004-06-14,63.45,63.46,62.63,62.65,27400
2004-06-15,62.75,63.35,62.2,62.2,49700
2004-06-16,62.25,62.97,61.77,62.01,55400
2004-06-17,61.91,63.11,61.51,63.0,70000
2004-06-18,63.01,63.49,62.23,62.25,48100
2004-06-21,62.35,62.48,61.88,61.93,21500
2004-06-22,61.93,62.39,61.31,62.39,40500
2004-06-23,62.29,62.58,61.81,62.38,24900
2004-06-24,62.28,62.97,62.03,62.28,37200
2004-06-25,62.1,62.5,61.7,62.5,100400
2004-06-28,62.5,62.64,62.15,62.53,24700
2004-06-29,62.54,63.22,62.34,63.05,29500
2004-06-30,62.95,64.31,62.95,63.83,48800
2004-07-01,63.8,64.25,63.75,64.15,82800
2004-07-02,64.1,65.8,63.95,65.13,73300
2004-07-06,65.13,65.94,65.05,65.8,68700
2004-07-07,65.79,65.79,64.84,65.01,160000
2004-07-08,64.89,64.89,64.45,64.8,72800
2004-07-09,64.75,64.89,64.55,64.89,35800
2004-07-12,64.88,65.24,64.48,64.87,29400
2004-07-13,64.87,64.87,64.61,64.72,98300
2004-07-14,64.72,64.8,64.2,64.21,99700
2004-07-15,64.2,64.25,63.5,63.5,37600
2004-07-16,63.51,64.07,63.16,63.49,22200
2004-07-19,63.49,63.49,61.69,62.66,78400
2004-07-20,63.76,65.41,63.2,64.65,165900
2004-07-21,64.6,64.95,63.6,63.66,102000
2004-07-22,63.41,63.41,62.05,62.05,84600
2004-07-23,62.06,62.67,61.5,62.51,105300
2004-07-26,62.5,62.95,62.4,62.67,80400
2004-07-27,62.76,62.98,62.52,62.69,57000
2004-07-28,62.8,62.81,60.8,61.48,109100
2004-07-29,61.6,62.57,61.6,62.5,41700
2004-07-30,62.5,62.5,61.53,61.95,47600
2004-08-02,61.85,62.82,61.81,62.68,50500
2004-08-03,62.74,63.05,62.45,62.91,73800
2004-08-04,62.75,63.51,62.55,63.51,35500
2004-08-05,63.4,63.55,62.05,63.06,68100
2004-08-06,62.94,62.94,61.03,61.54,42600
2004-08-09,61.64,61.64,60.66,60.71,47700
2004-08-10,60.83,61.93,60.83,61.72,56600
2004-08-11,61.6,62.91,61.15,62.29,57500
2004-08-12,62.17,62.9,62.17,62.87,26500
2004-08-13,62.75,62.82,61.42,61.56,29000
2004-08-16,61.66,63.89,61.6,63.7,52200
2004-08-17,63.82,65.8,63.74,64.97,76500
2004-08-18,64.75,64.76,64.2,64.63,61900
2004-08-19,64.53,64.54,63.65,63.8,71100
2004-08-20,63.9,64.07,63.45,63.88,96100
2004-08-23,63.98,64.99,63.98,64.94,37200
2004-08-24,64.75,64.76,64.32,64.59,39300
2004-08-25,64.59,66.36,64.59,65.66,41100
2004-08-26,65.91,67.57,65.91,67.21,58000
2004-08-27,67.71,71.59,67.71,71.32,154800
2004-08-30,70.07,74.29,70.07,73.73,258200
2004-08-31,73.6,74.2,72.75,73.09,160600
2004-09-01,73.34,74.25,72.84,73.72,87700
2004-09-02,73.57,74.16,73.57,73.99,36000
2004-09-03,73.8,74.93,73.72,74.89,74700
2004-09-07,75.0,75.44,74.75,74.82,72300
2004-09-08,74.85,75.51,74.65,74.99,81600
2004-09-09,73.8,73.8,71.93,72.57,245600
2004-09-10,72.0,74.32,72.0,73.6,237400
2004-09-13,73.8,75.7,73.8,74.21,127900
2004-09-14,74.21,75.16,74.11,74.35,63800
2004-09-15,74.24,74.79,73.86,74.43,64400
2004-09-16,74.28,75.5,74.28,74.72,86200
2004-09-17,74.47,76.0,74.47,74.55,59000
2004-09-20,74.3,75.0,74.3,74.73,65300
2004-09-21,74.73,74.97,74.29,74.38,59800
2004-09-22,74.38,74.43,73.5,73.56,34800
2004-09-23,73.41,73.77,73.0,73.17,43800
2004-09-24,73.18,74.0,73.18,73.46,40100
2004-09-27,73.31,73.4,72.33,72.89,62800
2004-09-28,72.89,72.89,71.9,72.35,140600
2004-09-29,72.35,72.35,71.65,72.02,174200
2004-09-30,72.12,73.96,71.87,73.49,123700
2004-10-01,73.49,74.75,73.2,74.34,57200
2004-10-04,74.44,75.3,74.44,74.5,93400
2004-10-05,74.5,75.72,74.48,75.33,166800
2004-10-06,75.27,75.89,74.39,74.85,81500
2004-10-07,74.7,75.0,73.08,74.43,141600
2004-10-08,74.3,74.3,71.61,71.8,152600
2004-10-11,71.81,72.36,71.54,72.16,92000
2004-10-12,72.01,72.01,70.82,71.81,98700
2004-10-13,72.05,72.28,70.96,71.15,76400
