datetime,open,high,low,close,volume
2004-02-23,26.75,26.76,26.48,26.61,50274760
2004-02-24,26.6,26.95,26.55,26.88,55437308
2004-02-25,26.89,26.99,26.61,26.7,64495128
2004-02-26,26.63,26.65,26.41,26.5,66605896
2004-02-27,26.48,26.62,26.35,26.53,58282184
2004-03-01,26.65,26.72,26.5,26.7,52154832
2004-03-02,26.63,26.69,26.35,26.39,66346628
2004-03-03,26.35,26.55,26.22,26.37,55002832
2004-03-04,26.37,26.42,26.21,26.37,44030372
2004-03-05,26.23,26.6,26.2,26.35,59852304
2004-03-08,26.31,26.35,25.81,25.83,69399000
2004-03-09,25.77,25.97,25.54,25.72,81131384
2004-03-10,25.66,25.8,25.35,25.37,75170936
2004-03-11,25.2,25.78,25.07,25.09,90594368
2004-03-12,25.38,25.51,25.23,25.38,64143860
2004-03-15,25.33,25.43,25.06,25.16,68841600
2004-03-16,25.27,25.37,25.1,25.18,65454168
2004-03-17,25.25,25.46,25.11,25.13,56265756
2004-03-18,25.03,25.03,24.58,24.89,123243240
2004-03-19,24.84,24.94,24.56,24.63,86679712
2004-03-22,24.53,24.84,24.01,24.5,127820320
2004-03-23,24.63,24.66,24.11,24.15,91728992
2004-03-24,24.36,24.58,24.18,24.41,97589360
2004-03-25,24.6,25.24,24.58,25.19,85689640
2004-03-26,25.11,25.51,25.0,25.03,61593456
2004-03-29,25.24,25.4,25.0,25.31,51888700
2004-03-30,25.19,25.33,25.03,25.2,59015156
2004-03-31,25.19,25.2,24.87,24.93,70546888
2004-04-01,24.95,25.11,24.85,25.08,69070248
2004-04-02,25.47,25.9,25.44,25.85,98051440
2004-04-05,25.8,25.98,25.73,25.95,53803928
2004-04-06,25.76,25.9,25.66,25.8,49049352
2004-04-07,25.73,25.78,25.35,25.59,63303296
2004-04-08,25.8,25.85,25.36,25.48,45298496
2004-04-12,25.48,25.74,25.43,25.61,38820232
2004-04-13,25.68,25.77,25.41,25.45,56985200
2004-04-14,25.4,25.68,25.38,25.51,61088192
2004-04-15,25.58,25.73,25.1,25.21,73850392
2004-04-16,25.32,25.4,25.11,25.16,51773660
2004-04-19,25.07,25.6,25.06,25.53,44594440
2004-04-20,25.64,25.88,25.28,25.33,59922364
2004-04-21,25.37,25.49,25.2,25.45,49264184
2004-04-22,25.52,25.99,25.47,25.95,100198880
2004-04-23,27.4,27.72,27.34,27.54,258297472
2004-04-26,27.46,27.55,27.1,27.24,89395072
2004-04-27,27.15,27.37,27.13,27.22,82078208
2004-04-28,27.05,27.05,26.47,26.56,72849168
2004-04-29,26.51,26.94,26.31,26.48,78144216
2004-04-30,26.59,26.75,25.96,26.13,66175600
2004-05-03,26.21,26.52,26.19,26.35,66039448
2004-05-04,26.36,26.54,26.02,26.33,55497200
2004-05-05,26.27,26.6,26.25,26.3,52928880
2004-05-06,26.16,26.34,26.03,26.12,62694608
2004-05-07,26.03,26.38,25.75,25.78,68297032
2004-05-10,25.64,26.05,25.62,25.93,64633152
2004-05-11,26.1,26.11,25.79,25.94,57935096
2004-05-12,25.87,26.0,25.43,25.94,64163500
2004-05-13,25.82,26.19,25.79,26.1,63868480
2004-05-14,25.98,26.17,25.64,25.86,43781224
2004-05-17,25.48,25.79,25.42,25.54,55160512
2004-05-18,25.69,25.97,25.64,25.83,58158836
2004-05-19,26.04,26.27,25.62,25.62,60063828
2004-05-20,25.74,25.87,25.59,25.73,52092800
2004-05-21,25.94,26.2,25.78,25.89,57810108
2004-05-24,26.04,26.17,25.74,25.76,56258012
2004-05-25,25.7,26.19,25.6,26.1,66620288
2004-05-26,25.99,26.15,25.85,26.14,50341476
2004-05-27,26.16,26.19,25.92,26.19,49089692
2004-05-28,26.14,26.35,26.02,26.23,37396196
2004-06-01,26.11,26.27,25.87,26.11,48377696
2004-06-02,26.13,26.28,26.01,26.13,54022508
2004-06-03,26.04,26.13,25.86,25.89,45946524
2004-06-04,26.04,26.24,25.94,25.95,48819776
2004-06-07,26.02,26.43,25.97,26.43,65229576
2004-06-08,26.29,26.65,26.24,26.6,58252832
2004-06-09,26.47,26.65,26.4,26.47,50386072
2004-06-10,26.38,26.79,26.38,26.77,48111708
2004-06-14,26.56,26.9,26.53,26.9,67440992
2004-06-15,26.98,27.6,26.97,27.41,114245016
2004-06-16,27.34,27.5,27.15,27.32,67437048
2004-06-17,27.31,27.92,27.29,27.77,106009672
2004-06-18,27.74,28.5,27.7,28.35,134291088
2004-06-21,28.23,28.66,28.12,28.35,116884920
2004-06-22,28.15,28.35,27.81,28.29,99479632
2004-06-23,28.18,28.38,28.0,28.3,58638260
2004-06-24,28.49,28.65,28.36,28.39,65528480
2004-06-25,28.47,28.63,28.25,28.57,76597416
2004-06-28,28.6,28.75,28.17,28.28,77109168
2004-06-29,28.19,28.58,28.18,28.5,55481832
2004-06-30,28.6,28.8,28.39,28.56,83619472
2004-07-01,28.68,28.84,28.26,28.63,78974368
